Drug	Concentration	Strain	ControlConc	Rep	SampleID	OD	BackgroundCorrect	PercentInhib
Miltefosine	133.3	Strain1537	999.75	Rep1	Plate_01_24hr_A24	0.1037	0.00369999999999999	1.12097051509235
Pentamidine	0.05	Strain1537	25	Rep1	Plate_01_24hr_B1	0.2736	0.1736	2.43007182172861
Pentamidine	0.1	Strain1537	50	Rep1	Plate_01_24hr_B2	0.3079	0.2079	2.69435772412781
DMSO-1000	0	Strain1537	1000	Rep1	Plate_01_24hr_B3	0.3029	0.2029	2.65583208237866
Pentamidine	0.25	Strain1537	125	Rep1	Plate_01_24hr_B4	0.34	0.24	2.94169234415738
Pentamidine	0.5	Strain1537	250	Rep1	Plate_01_24hr_B5	0.3252	0.2252	2.82765644457989
Pentamidine	0.75	Strain1537	375	Rep1	Plate_01_24hr_B6	0.3586	0.2586	3.08500773146424
Pentamidine	1	Strain1537	500	Rep1	Plate_01_24hr_B7	0.3464	0.2464	2.9910051655963
Pentamidine	2	Strain1537	25	Rep1	Plate_01_24hr_B8	0.3252	0.2252	2.82765644457989
Pentamidine	4	Strain1537	50	Rep1	Plate_01_24hr_B9	0.3098	0.2098	2.70899746799249
Pentamidine	6	Strain1537	75	Rep1	Plate_01_24hr_B10	0.3171	0.2171	2.76524490494626
Pentamidine	8	Strain1537	100	Rep1	Plate_01_24hr_B11	0.3141	0.2141	2.74212951989676
DMSO-500	0	Strain1537	500	Rep1	Plate_01_24hr_B12	0.4265	0.3265	3.60818594641775
Pentamidine	10	Strain1537	125	Rep1	Plate_01_24hr_B13	0.3238	0.2238	2.81686926489012
Pentamidine	12	Strain1537	150	Rep1	Plate_01_24hr_B14	0.3261	0.2261	2.83459106009473
Pentamidine	14	Strain1537	175	Rep1	Plate_01_24hr_B15	0.2688	0.1688	2.39308720564942
Pentamidine	16	Strain1537	200	Rep1	Plate_01_24hr_B16	0.2805	0.1805	2.48323720734245
Pentamidine	18	Strain1537	225	Rep1	Plate_01_24hr_B17	0.289	0.189	2.54873079831601
Pentamidine	20	Strain1537	250	Rep1	Plate_01_24hr_B18	0.2621	0.1621	2.34146284570556
Pentamidine	23.333	Strain1537	175	Rep1	Plate_01_24hr_B19	0.3978	0.2978	3.38704876277761
Pentamidine	30	Strain1537	225	Rep1	Plate_01_24hr_B20	0.2071	0.1071	1.91768078646486
Pentamidine	50	Strain1537	375	Rep1	Plate_01_24hr_B21	0.1442	0.0442	1.4330282132605
Pentamidine	73.333	Strain1537	550	Rep1	Plate_01_24hr_B22	0.1398	0.0398	1.39912564852124
Pentamidine	100	Strain1537	750	Rep1	Plate_01_24hr_B23	0.2969	0.1969	2.60960131227967
Pentamidine	133.3	Strain1537	999.75	Rep1	Plate_01_24hr_B24	0.1266	0.0266	1.29741795430347
Cloxiquine	0.05	Strain1537	25	Rep1	Plate_01_24hr_C1	0.3106	0.2106	2.71516157067235
Cloxiquine	0.1	Strain1537	50	Rep1	Plate_01_24hr_C2	0.3487	0.2487	3.00872696080091
DMSO-1000	0	Strain1537	1000	Rep1	Plate_01_24hr_C3	0.2905	0.1905	2.56028849084075
Cloxiquine	0.25	Strain1537	125	Rep1	Plate_01_24hr_C4	0.3149	0.2149	2.74829362257663
Cloxiquine	0.5	Strain1537	250	Rep1	Plate_01_24hr_C5	0.3211	0.2211	2.79606541834558
Cloxiquine	0.75	Strain1537	375	Rep1	Plate_01_24hr_C6	0.3253	0.2253	2.82842695741487
Cloxiquine	1	Strain1537	500	Rep1	Plate_01_24hr_C7	0.3524	0.2524	3.03723593569529
Cloxiquine	2	Strain1537	25	Rep1	Plate_01_24hr_C8	0.3406	0.2406	2.94631542116728
Cloxiquine	4	Strain1537	50	Rep1	Plate_01_24hr_C9	0.3649	0.2649	3.13355004006817
Cloxiquine	6	Strain1537	75	Rep1	Plate_01_24hr_C10	0.2142	0.1142	1.97238719774866
Cloxiquine	8	Strain1537	100	Rep1	Plate_01_24hr_C11	0.1569	0.0569	1.53088334330335
DMSO-500	0	Strain1537	500	Rep1	Plate_01_24hr_C12	0.4554	0.3554	3.83086415572787
Cloxiquine	10	Strain1537	125	Rep1	Plate_01_24hr_C13	0.1185	0.0185	1.23500641466984
Cloxiquine	12	Strain1537	150	Rep1	Plate_01_24hr_C14	0.1067	0.0067	1.14408590014184
Cloxiquine	14	Strain1537	175	Rep1	Plate_01_24hr_C15	0.1052	0.0052	1.13252820761709
Cloxiquine	16	Strain1537	200	Rep1	Plate_01_24hr_C16	0.109	0.00899999999999999	1.16180769534645
Cloxiquine	18	Strain1537	225	Rep1	Plate_01_24hr_C17	0.1101	0.0101	1.17028333653126
Cloxiquine	20	Strain1537	250	Rep1	Plate_01_24hr_C18	0.1034	0.0034	1.1186589765874
Cloxiquine	23.333	Strain1537	175	Rep1	Plate_01_24hr_C19	0.1135	0.0135	1.19648077292069
Cloxiquine	30	Strain1537	225	Rep1	Plate_01_24hr_C20	0.1296	0.0296	1.32053333935296
Cloxiquine	50	Strain1537	375	Rep1	Plate_01_24hr_C21	0.1297	0.0297	1.32130385218795
Cloxiquine	73.333	Strain1537	550	Rep1	Plate_01_24hr_C22	0.1077	0.0077	1.15179102849167
Cloxiquine	100	Strain1537	750	Rep1	Plate_01_24hr_C23	0.1025	0.00249999999999999	1.11172436107255
Cloxiquine	133.3	Strain1537	999.75	Rep1	Plate_01_24hr_C24	0.0972	-0.00280000000000001	1.07088718081844
Disulfiram	0.05	Strain1537	25	Rep1	Plate_01_24hr_D1	0.2917	0.1917	2.56953464486055
Disulfiram	0.1	Strain1537	50	Rep1	Plate_01_24hr_D2	0.2847	0.1847	2.51559874641173
DMSO-1000	0	Strain1537	1000	Rep1	Plate_01_24hr_D3	0.2892	0.1892	2.55027182398597
Disulfiram	0.25	Strain1537	125	Rep1	Plate_01_24hr_D4	0.3168	0.2168	2.76293336644131
Disulfiram	0.5	Strain1537	250	Rep1	Plate_01_24hr_D5	0.3052	0.2052	2.67355387758327
Disulfiram	0.75	Strain1537	375	Rep1	Plate_01_24hr_D6	0.3035	0.2035	2.66045515938856
Disulfiram	1	Strain1537	500	Rep1	Plate_01_24hr_D7	0.377	0.277	3.22678209310113
Disulfiram	2	Strain1537	25	Rep1	Plate_01_24hr_D8	0.367	0.267	3.14973080960282
Disulfiram	4	Strain1537	50	Rep1	Plate_01_24hr_D9	0.3518	0.2518	3.03261285868539
Disulfiram	6	Strain1537	75	Rep1	Plate_01_24hr_D10	0.2297	0.1297	2.09181668717104
Disulfiram	8	Strain1537	100	Rep1	Plate_01_24hr_D11	0.162	0.062	1.57017949788749
DMSO-500	0	Strain1537	500	Rep1	Plate_01_24hr_D12	0.4016	0.3016	3.41632825050696
Disulfiram	10	Strain1537	125	Rep1	Plate_01_24hr_D13	0.1122	0.0122	1.18646410606591
Disulfiram	12	Strain1537	150	Rep1	Plate_01_24hr_D14	0.1071	0.0071	1.14716795148177
Disulfiram	14	Strain1537	175	Rep1	Plate_01_24hr_D15	0.2027	0.1027	1.8837782217256
Disulfiram	16	Strain1537	200	Rep1	Plate_01_24hr_D16	0.1249	0.0249	1.28431923610876
Disulfiram	18	Strain1537	225	Rep1	Plate_01_24hr_D17	0.1122	0.0122	1.18646410606591
Disulfiram	20	Strain1537	250	Rep1	Plate_01_24hr_D18	0.1634	0.0634	1.58096667757725
Disulfiram	23.333	Strain1537	175	Rep1	Plate_01_24hr_D19	0.1162	0.0162	1.21728461946523
Disulfiram	30	Strain1537	225	Rep1	Plate_01_24hr_D20	0.1292	0.0292	1.31745128801303
Disulfiram	50	Strain1537	375	Rep1	Plate_01_24hr_D21	0.1215	0.0215	1.25812179971933
Disulfiram	73.333	Strain1537	550	Rep1	Plate_01_24hr_D22	0.1104	0.0104	1.17259487503621
Disulfiram	100	Strain1537	750	Rep1	Plate_01_24hr_D23	0.1049	0.00489999999999999	1.13021666911214
Disulfiram	133.3	Strain1537	999.75	Rep1	Plate_01_24hr_D24	0.1015	0.0015	1.10401923272272
Terbinafine	0.05	Strain1537	25	Rep1	Plate_01_24hr_E1	0.3062	0.2062	2.6812590059331
Terbinafine	0.1	Strain1537	50	Rep1	Plate_01_24hr_E2	0.338	0.238	2.92628208745772
DMSO-1000	0	Strain1537	1000	Rep1	Plate_01_24hr_E3	0.3169	0.2169	2.76370387927629
Terbinafine	0.25	Strain1537	125	Rep1	Plate_01_24hr_E4	0.3107	0.2107	2.71593208350734
Terbinafine	0.5	Strain1537	250	Rep1	Plate_01_24hr_E5	0.2473	0.1473	2.22742694612806
Terbinafine	0.75	Strain1537	375	Rep1	Plate_01_24hr_E6	0.2598	0.1598	2.32374105050095
Terbinafine	1	Strain1537	500	Rep1	Plate_01_24hr_E7	0.2779	0.1779	2.46320387363288
Terbinafine	2	Strain1537	25	Rep1	Plate_01_24hr_E8	0.2311	0.1311	2.1026038668608
Terbinafine	4	Strain1537	50	Rep1	Plate_01_24hr_E9	0.204	0.104	1.89379488858038
Terbinafine	6	Strain1537	75	Rep1	Plate_01_24hr_E10	0.1782	0.0782	1.69500257715475
Terbinafine	8	Strain1537	100	Rep1	Plate_01_24hr_E11	0.1858	0.0858	1.75356155261346
DMSO-500	0	Strain1537	500	Rep1	Plate_01_24hr_E12	0.4456	0.3456	3.75535389789952
Terbinafine	10	Strain1537	125	Rep1	Plate_01_24hr_E13	0.1838	0.0838	1.7381512959138
Terbinafine	12	Strain1537	150	Rep1	Plate_01_24hr_E14	0.1829	0.0829	1.73121668039895
Terbinafine	14	Strain1537	175	Rep1	Plate_01_24hr_E15	0.166	0.066	1.60100001128681
Terbinafine	16	Strain1537	200	Rep1	Plate_01_24hr_E16	0.1607	0.0607	1.56016283103271
Terbinafine	18	Strain1537	225	Rep1	Plate_01_24hr_E17	0.1504	0.0504	1.48080000902945
Terbinafine	20	Strain1537	250	Rep1	Plate_01_24hr_E18	0.1519	0.0519	1.49235770155419
Terbinafine	23.333	Strain1537	175	Rep1	Plate_01_24hr_E19	0.1469	0.0469	1.45383205980504
Terbinafine	30	Strain1537	225	Rep1	Plate_01_24hr_E20	0.1457	0.0457	1.44458590578524
Terbinafine	50	Strain1537	375	Rep1	Plate_01_24hr_E21	0.141	0.041	1.40837180254104
Terbinafine	73.333	Strain1537	550	Rep1	Plate_01_24hr_E22	0.1379	0.0379	1.38448590465656
Terbinafine	100	Strain1537	750	Rep1	Plate_01_24hr_E23	0.1313	0.0313	1.33363205754768
Terbinafine	133.3	Strain1537	999.75	Rep1	Plate_01_24hr_E24	0.1325	0.0325	1.34287821156747
Triclabendazole	0.05	Strain1537	25	Rep1	Plate_01_24hr_F1	0.2782	0.1782	2.46551541213783
Triclabendazole	0.1	Strain1537	50	Rep1	Plate_01_24hr_F2	0.3185	0.2185	2.77603208463602
DMSO-1000	0	Strain1537	1000	Rep1	Plate_01_24hr_F3	0.3133	0.2133	2.7359654172169
Triclabendazole	0.25	Strain1537	125	Rep1	Plate_01_24hr_F4	0.3118	0.2118	2.72440772469215
Triclabendazole	0.5	Strain1537	250	Rep1	Plate_01_24hr_F5	0.3317	0.2317	2.87773977885379
Triclabendazole	0.75	Strain1537	375	Rep1	Plate_01_24hr_F6	0.3574	0.2574	3.07576157744444
Triclabendazole	1	Strain1537	500	Rep1	Plate_01_24hr_F7	0.3376	0.2376	2.92320003611779
Triclabendazole	2	Strain1537	25	Rep1	Plate_01_24hr_F8	0.3452	0.2452	2.9817590115765
Triclabendazole	4	Strain1537	50	Rep1	Plate_01_24hr_F9	0.2792	0.1792	2.47322054048766
Triclabendazole	6	Strain1537	75	Rep1	Plate_01_24hr_F10	0.1935	0.0935	1.81289104090716
Triclabendazole	8	Strain1537	100	Rep1	Plate_01_24hr_F11	0.1507	0.0507	1.4831115475344
DMSO-500	0	Strain1537	500	Rep1	Plate_01_24hr_F12	0.4221	0.3221	3.5742833816785
Triclabendazole	10	Strain1537	125	Rep1	Plate_01_24hr_F13	0.1118	0.0118	1.18338205472598
Triclabendazole	12	Strain1537	150	Rep1	Plate_01_24hr_F14	0.1059	0.00589999999999999	1.13792179746197
Triclabendazole	14	Strain1537	175	Rep1	Plate_01_24hr_F15	0.0985	-0.0015	1.08090384767322
Triclabendazole	16	Strain1537	200	Rep1	Plate_01_24hr_F16	0.1091	0.0091	1.16257820818143
Triclabendazole	18	Strain1537	225	Rep1	Plate_01_24hr_F17	0.1048	0.0048	1.12944615627716
Triclabendazole	20	Strain1537	250	Rep1	Plate_01_24hr_F18	0.0983	-0.00170000000000001	1.07936282200326
Triclabendazole	23.333	Strain1537	175	Rep1	Plate_01_24hr_F19	0.1043	0.0043	1.12559359210224
Triclabendazole	30	Strain1537	225	Rep1	Plate_01_24hr_F20	0.1036	0.00359999999999999	1.12020000225736
Triclabendazole	50	Strain1537	375	Rep1	Plate_01_24hr_F21	0.1413	0.0413	1.41068334104599
Triclabendazole	73.333	Strain1537	550	Rep1	Plate_01_24hr_F22	0.1625	0.0625	1.5740320620624
Triclabendazole	100	Strain1537	750	Rep1	Plate_01_24hr_F23	0.2269	0.1269	2.07024232779151
Triclabendazole	133.3	Strain1537	999.75	Rep1	Plate_01_24hr_F24	0.2917	0.1917	2.56953464486055
OSU-03012	0.05	Strain1537	25	Rep1	Plate_01_24hr_G1	0.3351	0.2351	2.90393721524321
OSU-03012	0.1	Strain1537	50	Rep1	Plate_01_24hr_G2	0.3363	0.2363	2.91318336926301
DMSO-1000	0	Strain1537	1000	Rep1	Plate_01_24hr_G3	0.2707	0.1707	2.4077269495141
OSU-03012	0.25	Strain1537	125	Rep1	Plate_01_24hr_G4	0.3209	0.2209	2.79452439267561
OSU-03012	0.5	Strain1537	250	Rep1	Plate_01_24hr_G5	0.3208	0.2208	2.79375387984063
OSU-03012	0.75	Strain1537	375	Rep1	Plate_01_24hr_G6	0.3426	0.2426	2.96172567786694
OSU-03012	1	Strain1537	500	Rep1	Plate_01_24hr_G7	0.3398	0.2398	2.94015131848742
OSU-03012	2	Strain1537	25	Rep1	Plate_01_24hr_G8	0.4011	0.3011	3.41247568633205
OSU-03012	4	Strain1537	50	Rep1	Plate_01_24hr_G9	0.2288	0.1288	2.08488207165619
OSU-03012	6	Strain1537	75	Rep1	Plate_01_24hr_G10	0.104	0.00399999999999999	1.12328205359729
OSU-03012	8	Strain1537	100	Rep1	Plate_01_24hr_G11	0.1025	0.00249999999999999	1.11172436107255
DMSO-500	0	Strain1537	500	Rep1	Plate_01_24hr_G12	0.3887	0.2887	3.31693209479415
OSU-03012	10	Strain1537	125	Rep1	Plate_01_24hr_G13	0.1081	0.0081	1.1548730798316
OSU-03012	12	Strain1537	150	Rep1	Plate_01_24hr_G14	0.1052	0.0052	1.13252820761709
OSU-03012	14	Strain1537	175	Rep1	Plate_01_24hr_G15	0.1065	0.00649999999999999	1.14254487447187
OSU-03012	16	Strain1537	200	Rep1	Plate_01_24hr_G16	0.1062	0.0062	1.14023333596692
OSU-03012	18	Strain1537	225	Rep1	Plate_01_24hr_G17	0.1053	0.0053	1.13329872045207
OSU-03012	20	Strain1537	250	Rep1	Plate_01_24hr_G18	0.0977	-0.00230000000000001	1.07473974499336
OSU-03012	23.333	Strain1537	175	Rep1	Plate_01_24hr_G19	0.1067	0.0067	1.14408590014184
OSU-03012	30	Strain1537	225	Rep1	Plate_01_24hr_G20	0.1107	0.0107	1.17490641354116
OSU-03012	50	Strain1537	375	Rep1	Plate_01_24hr_G21	0.1572	0.0572	1.5331948818083
OSU-03012	73.333	Strain1537	550	Rep1	Plate_01_24hr_G22	0.2054	0.1054	1.90458206827015
OSU-03012	100	Strain1537	750	Rep1	Plate_01_24hr_G23	0.2642	0.1642	2.3576436152402
OSU-03012	133.3	Strain1537	999.75	Rep1	Plate_01_24hr_G24	0.1781	0.0781	1.69423206431976
Nitroxiline	0.05	Strain1537	25	Rep1	Plate_01_24hr_H1	0.3315	0.2315	2.87619875318382
Nitroxiline	0.1	Strain1537	50	Rep1	Plate_01_24hr_H2	0.2938	0.1938	2.5857154143952
DMSO-1000	0	Strain1537	1000	Rep1	Plate_01_24hr_H3	0.3131	0.2131	2.73442439154693
Nitroxiline	0.25	Strain1537	125	Rep1	Plate_01_24hr_H4	0.336	0.236	2.91087183075806
Nitroxiline	0.5	Strain1537	250	Rep1	Plate_01_24hr_H5	0.3117	0.2117	2.72363721185717
Nitroxiline	0.75	Strain1537	375	Rep1	Plate_01_24hr_H6	0.3518	0.2518	3.03261285868539
Nitroxiline	1	Strain1537	500	Rep1	Plate_01_24hr_H7	0.2702	0.1702	2.40387438533919
Nitroxiline	2	Strain1537	25	Rep1	Plate_01_24hr_H8	0.1304	0.0304	1.32669744203283
Nitroxiline	4	Strain1537	50	Rep1	Plate_01_24hr_H9	0.1112	0.0112	1.17875897771608
Nitroxiline	6	Strain1537	75	Rep1	Plate_01_24hr_H10	0.1067	0.0067	1.14408590014184
Nitroxiline	8	Strain1537	100	Rep1	Plate_01_24hr_H11	0.1056	0.00559999999999999	1.13561025895702
DMSO-500	0	Strain1537	500	Rep1	Plate_01_24hr_H12	0.3619	0.2619	3.11043465501868
Nitroxiline	10	Strain1537	125	Rep1	Plate_01_24hr_H13	0.1062	0.0062	1.14023333596692
Nitroxiline	12	Strain1537	150	Rep1	Plate_01_24hr_H14	0.1029	0.0029	1.11480641241248
Nitroxiline	14	Strain1537	175	Rep1	Plate_01_24hr_H15	0.0983	-0.00170000000000001	1.07936282200326
Nitroxiline	16	Strain1537	200	Rep1	Plate_01_24hr_H16	0.1024	0.0024	1.11095384823756
Nitroxiline	18	Strain1537	225	Rep1	Plate_01_24hr_H17	0.1007	0.000699999999999992	1.09785513004285
Nitroxiline	20	Strain1537	250	Rep1	Plate_01_24hr_H18	0.0941	-0.0059	1.04700128293397
Nitroxiline	23.333	Strain1537	175	Rep1	Plate_01_24hr_H19	0.0958	-0.00420000000000001	1.06010000112868
Nitroxiline	30	Strain1537	225	Rep1	Plate_01_24hr_H20	0.1	0	1.09246154019797
Nitroxiline	50	Strain1537	375	Rep1	Plate_01_24hr_H21	0.11	0.01	1.16951282369628
Nitroxiline	73.333	Strain1537	550	Rep1	Plate_01_24hr_H22	0.1199	0.0199	1.24579359435961
Nitroxiline	100	Strain1537	750	Rep1	Plate_01_24hr_H23	0.1184	0.0184	1.23423590183486
Nitroxiline	133.3	Strain1537	999.75	Rep1	Plate_01_24hr_H24	0.1119	0.0119	1.18415256756096
Broxyquinolone	0.10003	Strain1537	250	Rep1	Plate_01_24hr_I1	0.3083	0.2083	2.69743977546774
Broxyquinolone	0.05	Strain1537	25	Rep1	Plate_01_24hr_I2	0.3074	0.2074	2.6905051599529
DMSO-100	0	Strain1537	100	Rep1	Plate_01_24hr_I3	0.3101	0.2101	2.71130900649744
Broxyquinolone	0.1	Strain1537	50	Rep1	Plate_01_24hr_I4	0.3226	0.2226	2.80762311087033
Broxyquinolone	0.25	Strain1537	125	Rep1	Plate_01_24hr_I5	0.1528	0.0528	1.49929231706904
Broxyquinolone	0.5	Strain1537	250	Rep1	Plate_01_24hr_I6	0.1058	0.0058	1.13715128462699
Broxyquinolone	0.75	Strain1537	375	Rep1	Plate_01_24hr_I7	0.1049	0.00489999999999999	1.13021666911214
Broxyquinolone	1	Strain1537	500	Rep1	Plate_01_24hr_I8	0.1093	0.00929999999999999	1.1641192338514
Broxyquinolone	2	Strain1537	25	Rep1	Plate_01_24hr_I9	0.1043	0.0043	1.12559359210224
Broxyquinolone	4	Strain1537	50	Rep1	Plate_01_24hr_I10	0.1012	0.00119999999999999	1.10170769421777
Broxyquinolone	6	Strain1537	75	Rep1	Plate_01_24hr_I11	0.1003	0.000299999999999995	1.09477307870292
DMSO-250	0	Strain1537	250	Rep1	Plate_01_24hr_I12	0.3441	0.2441	2.97328337039169
Broxyquinolone	8	Strain1537	100	Rep1	Plate_01_24hr_I13	0.1027	0.00269999999999999	1.11326538674251
Broxyquinolone	10	Strain1537	125	Rep1	Plate_01_24hr_I14	0.1005	5e-04	1.09631410437289
Broxyquinolone	12	Strain1537	150	Rep1	Plate_01_24hr_I15	0.0972	-0.00280000000000001	1.07088718081844
Broxyquinolone	14	Strain1537	175	Rep1	Plate_01_24hr_I16	0.0997	-0.000300000000000009	1.09015000169302
Broxyquinolone	16	Strain1537	200	Rep1	Plate_01_24hr_I17	0.0985	-0.0015	1.08090384767322
Broxyquinolone	18	Strain1537	225	Rep1	Plate_01_24hr_I18	0.0943	-0.00570000000000001	1.04854230860393
Broxyquinolone	20	Strain1537	250	Rep1	Plate_01_24hr_I19	0.094	-0.00600000000000001	1.04623077009899
Broxyquinolone	23.333	Strain1537	175	Rep1	Plate_01_24hr_I20	0.0954	-0.00460000000000001	1.05701794978875
Broxyquinolone	30	Strain1537	225	Rep1	Plate_01_24hr_I21	0.1018	0.0018	1.10633077122767
Broxyquinolone	50	Strain1537	375	Rep1	Plate_01_24hr_I22	0.1279	0.0279	1.30743462115825
Broxyquinolone	70	Strain1537	525	Rep1	Plate_01_24hr_I23	0.1613	0.0613	1.5647859080426
Broxyquinolone	100	Strain1537	750	Rep1	Plate_01_24hr_I24	0.1706	0.0706	1.63644360169603
Micafungin	0.01	Strain1537	25	Rep1	Plate_01_24hr_J1	0.3129	0.2129	2.73288336587697
Micafungin	0.05002	Strain1537	125	Rep1	Plate_01_24hr_J2	0.1422	0.0422	1.41761795656083
DMSO-100	0	Strain1537	100	Rep1	Plate_01_24hr_J3	0.3203	0.2203	2.78990131566571
Micafungin	0.10003	Strain1537	250	Rep1	Plate_01_24hr_J4	0.1161	0.0161	1.21651410663025
Micafungin	0.05	Strain1537	25	Rep1	Plate_01_24hr_J5	0.2507	0.1507	2.25362438251748
Micafungin	0.1	Strain1537	50	Rep1	Plate_01_24hr_J6	0.1512	0.0512	1.48696411170931
Micafungin	0.2	Strain1537	100	Rep1	Plate_01_24hr_J7	0.1197	0.0197	1.24425256868964
Micafungin	0.35	Strain1537	175	Rep1	Plate_01_24hr_J8	0.1118	0.0118	1.18338205472598
Micafungin	0.5	Strain1537	250	Rep1	Plate_01_24hr_J9	0.1187	0.0187	1.23654744033981
Micafungin	0.65	Strain1537	325	Rep1	Plate_01_24hr_J10	0.105	0.00499999999999999	1.13098718194713
Micafungin	0.75	Strain1537	375	Rep1	Plate_01_24hr_J11	0.182	0.082	1.7242820648841
DMSO-250	0	Strain1537	250	Rep1	Plate_01_24hr_J12	0.2889	0.1889	2.54796028548102
Micafungin	1	Strain1537	500	Rep1	Plate_01_24hr_J13	0.1094	0.00939999999999999	1.16488974668638
Micafungin	2	Strain1537	25	Rep1	Plate_01_24hr_J14	0.108	0.00799999999999999	1.15410256699662
Micafungin	4	Strain1537	50	Rep1	Plate_01_24hr_J15	0.1104	0.0104	1.17259487503621
Micafungin	6	Strain1537	75	Rep1	Plate_01_24hr_J16	0.1056	0.00559999999999999	1.13561025895702
Micafungin	10	Strain1537	125	Rep1	Plate_01_24hr_J17	0.1056	0.00559999999999999	1.13561025895702
Micafungin	12	Strain1537	150	Rep1	Plate_01_24hr_J18	0.1055	0.00549999999999999	1.13483974612204
Micafungin	16	Strain1537	200	Rep1	Plate_01_24hr_J19	0.1042	0.0042	1.12482307926726
Micafungin	20	Strain1537	250	Rep1	Plate_01_24hr_J20	0.1016	0.00159999999999999	1.1047897455577
Micafungin	24	Strain1537	300	Rep1	Plate_01_24hr_J21	0.1003	0.000299999999999995	1.09477307870292
Micafungin	30	Strain1537	225	Rep1	Plate_01_24hr_J22	0.0967	-0.00330000000000001	1.06703461664353
Micafungin	50	Strain1537	375	Rep1	Plate_01_24hr_J23	0.0981	-0.0019	1.07782179633329
Micafungin	100	Strain1537	750	Rep1	Plate_01_24hr_J24	0.1058	0.0058	1.13715128462699
Caspofungin	0.05	Strain1537	25	Rep1	Plate_01_24hr_K1	0.3202	0.2202	2.78913080283073
Caspofungin	0.1	Strain1537	50	Rep1	Plate_01_24hr_K2	0.3047	0.2047	2.66970131340835
DMSO-100	0	Strain1537	100	Rep1	Plate_01_24hr_K3	0.3505	0.2505	3.02259619183061
Caspofungin	0.25	Strain1537	125	Rep1	Plate_01_24hr_K4	0.3857	0.2857	3.29381670974465
Caspofungin	0.5	Strain1537	250	Rep1	Plate_01_24hr_K5	0.1205	0.0205	1.2504166713695
Caspofungin	0.75	Strain1537	375	Rep1	Plate_01_24hr_K6	0.1249	0.0249	1.28431923610876
Caspofungin	1	Strain1537	500	Rep1	Plate_01_24hr_K7	0.1293	0.0293	1.31822180084802
Caspofungin	1.5	Strain1537	25	Rep1	Plate_01_24hr_K8	0.1307	0.0307	1.32900898053778
Caspofungin	3	Strain1537	50	Rep1	Plate_01_24hr_K9	0.1768	0.0768	1.68421539746498
Caspofungin	4.5	Strain1537	75	Rep1	Plate_01_24hr_K10	0.1589	0.0589	1.54629360000301
Caspofungin	6	Strain1537	100	Rep1	Plate_01_24hr_K11	0.1856	0.0856	1.75202052694349
DMSO-250	0	Strain1537	250	Rep1	Plate_01_24hr_K12	0.3395	0.2395	2.93783977998247
Caspofungin	7.5	Strain1537	125	Rep1	Plate_01_24hr_K13	0.173	0.073	1.65493590973563
Caspofungin	9	Strain1537	150	Rep1	Plate_01_24hr_K14	0.177	0.077	1.68575642313495
